TIME	r_foot_x	r_foot_y	r_foot_z
5.609999999999999	0.0	0.6000770963759278	7.706665667179814e-05
5.619999999999999	0.0	0.6003082666266872	0.0003077914851215447
5.63	0.0	0.6006931543045074	0.0006907519900580972
5.64	0.0	0.6012311659404863	0.0012235870926211618
5.6499999999999995	0.0	0.601921471959677	0.0019030116872178178
5.659999999999999	0.0	0.6027630079602324	0.0027248368952907695
5.67	0.0	0.6037544763546354	0.0036839958911477236
5.68	0.0	0.6048943483704847	0.004774575140626323
5.6899999999999995	0.0	0.6061808664077516	0.005989850859999208
5.699999999999999	0.0	0.6076120467488714	0.007322330470336264
5.71	0.0	0.609185682617492	0.008763798791745455
5.72	0.0	0.6108993475811633	0.010305368692688189
5.7299999999999995	0.0	0.6127503992927203	0.01193753588210126
5.739999999999999	0.0	0.6147359835645908	0.013650237506511276
5.75	0.0	0.6168530387697456	0.015432914190872822
5.76	0.0	0.6190983005625054	0.01727457514062634
5.77	0.0	0.6214683069119256	0.019163865903602348
5.779999999999999	0.0	0.6239594034399969	0.021089138373994173
5.79	0.0	0.6265677490564316	0.023038522606803953
5.8	0.0	0.6292893218813453	0.025000000000000036
5.81	0.0	0.6321199254467059	0.026961477393196116
5.819999999999999	0.0	0.6350551951669816	0.02891086162600572
5.83	0.0	0.6380906050690168	0.030836134096397717
5.84	0.0	0.6412214747707529	0.03272542485937373
5.85	0.0	0.6444429766980398	0.03456708580912724
5.859999999999999	0.0	0.6477501435284051	0.03634976249348863
5.869999999999999	0.0	0.6511378758503045	0.038062464117898646
5.88	0.0	0.6546009500260455	0.039694631307311865
5.89	0.0	0.6581340262462573	0.0412362012082546
5.8999999999999995	0.0	0.661731656763491	0.04267766952966367
5.909999999999999	0.0	0.6653882942922507	0.044010149140000725
5.92	0.0	0.6690983005625054	0.045225424859373725
5.93	0.0	0.6728559550134927	0.04631600410885231
5.9399999999999995	0.0	0.6766554636144094	0.04727516310470919
5.949999999999999	0.0	0.6804909677983871	0.04809698831278214
5.96	0.0	0.6843565534959771	0.04877641290737886
5.97	0.0	0.6882462602542163	0.04930924800994192
5.9799999999999995	0.0	0.6921540904272155	0.04969220851487844
5.989999999999999	0.0	0.6960740184240931	0.049922933343328195
6.0	0.0	0.7000000000000002	0.05
6.01	0.0	0.703925981575907	0.0499229333433282
6.02	0.0	0.7078459095727845	0.04969220851487845
6.029999999999999	0.0	0.7117537397457837	0.049309248009941936
6.04	0.0	0.7156434465040233	0.04877641290737882
6.05	0.0	0.7195090322016129	0.04809698831278216
6.06	0.0	0.7233445363855906	0.04727516310470921
6.069999999999999	0.0	0.7271440449865074	0.04631600410885233
6.08	0.0	0.730901699437495	0.04522542485937364
6.09	0.0	0.7346117057077495	0.04401014914000075
6.1	0.0	0.738268343236509	0.042677669529663696
6.109999999999999	0.0	0.7418659737537427	0.04123620120825462
6.119999999999999	0.0	0.7453990499739546	0.039694631307311906
6.13	0.0	0.7488621241496957	0.03806246411789868
6.14	0.0	0.7522498564715949	0.036349762493488674
6.1499999999999995	0.0	0.7555570233019602	0.03456708580912728
6.16	0.0	0.7587785252292475	0.03272542485937361
6.17	0.0	0.7619093949309835	0.030836134096397586
6.18	0.0	0.7649448048330184	0.028910861626005757
6.1899999999999995	0.0	0.7678800745532942	0.02696147739319616
6.199999999999999	0.0	0.7707106781186547	0.025000000000000074
6.21	0.0	0.7734322509435687	0.023038522606803828
6.22	0.0	0.7760405965600031	0.02108913837399421
6.2299999999999995	0.0	0.7785316930880746	0.019163865903602383
6.239999999999999	0.0	0.7809016994374947	0.017274575140626382
6.25	0.0	0.7831469612302546	0.015432914190872688
